Date,Day,Week,ID,Treat,Drought,Fungus,Photo,Cond,Trans,Fluor,Disease,Death Day (10 wk).  N/A = did not die
4-Nov-16,0,0,1,D+,D,+,5.92431697,0.099670261,1.89732076,,0,63
4-Nov-16,0,0,2,W-,W,-,7.226154527,0.207995531,3.220538377,,0,N/A
4-Nov-16,0,0,3,W-,W,-,6.693964944,0.104662599,2.034240252,,0.5,N/A
4-Nov-16,0,0,4,W+,W,+,6.938671894,0.130331361,2.443697118,,0,38
4-Nov-16,0,0,5,D+,D,+,8.139425009,0.138719453,2.576184282,,0,17
4-Nov-16,0,0,6,W+,W,+,6.305971593,0.105911075,2.012858121,,0,N/A
4-Nov-16,0,0,7,D+,D,+,7.937163425,0.145907485,2.570081683,,0,44
4-Nov-16,0,0,8,D-,D,-,9.223426508,0.178791345,2.978347755,,0,77
4-Nov-16,0,0,9,W+,W,+,5.360956748,0.073478257,1.46449841,,0,66
4-Nov-16,0,0,10,D-,D,-,9.709790428,0.257128217,3.913381427,,0.5,N/A
4-Nov-16,0,0,11,D-,D,-,5.493127928,0.098773905,1.899262861,,0.5,70
4-Nov-16,0,0,12,W+,W,+,9.003830062,0.276263893,3.880907719,,0,38
4-Nov-16,0,0,13,W+,W,+,5.979404143,0.106899751,1.955340848,,0.5,57
4-Nov-16,0,0,14,W-,W,-,8.027965433,0.237366773,3.44361581,,0,N/A
4-Nov-16,0,0,15,D-,D,-,12.90827885,0.255879989,3.535862283,,0,N/A
4-Nov-16,0,0,16,W+,W,+,8.979551597,0.358040801,4.251535258,,0,46
4-Nov-16,0,0,17,D+,D,+,7.146448425,0.21421855,3.013169501,,0,47
4-Nov-16,0,0,18,D+,D,+,8.64641375,0.21621926,3.248486578,,0,34
4-Nov-16,0,0,19,W-,W,-,3.931360636,0.073463031,1.399791024,,0,N/A
4-Nov-16,0,0,20,D+,D,+,8.037883218,0.174708526,2.714544689,,0.5,25
4-Nov-16,0,0,21,D-,D,-,8.264308425,0.168942433,2.717259107,,0,N/A
4-Nov-16,0,0,22,W-,W,-,3.183549544,0.052928626,1.038184632,,0,N/A
4-Nov-16,0,0,23,D+,D,+,11.27514564,0.302494047,3.952102056,,0,34
4-Nov-16,0,0,24,D-,D,-,12.80782342,0.331439973,4.077233961,,0,N/A
4-Nov-16,0,0,25,D-,D,-,9.499923739,0.332538815,4.086848477,,0,66
11-Nov-16,7,1,1,D+,D,+,5.933134877,0.08305711,1.96388668,,0.5,70
11-Nov-16,7,1,2,W-,W,-,9.026143006,0.210664114,3.850887638,,0.5,N/A
11-Nov-16,7,1,3,W-,W,-,6.915714944,0.125587075,2.688865464,,0.5,N/A
11-Nov-16,7,1,4,W+,W,+,2.26236974,0.035789703,0.8543996,,0,38
11-Nov-16,7,1,5,D+,D,+,5.853287461,0.09883836,2.221875338,,2,17
11-Nov-16,7,1,6,W+,W,+,5.421096128,0.096352151,2.157486097,,0,N/A
11-Nov-16,7,1,7,D+,D,+,8.080229535,0.167122925,3.29497374,,0,44
11-Nov-16,7,1,8,D-,D,-,9.605870854,0.198991593,3.616201952,,0.5,77
11-Nov-16,7,1,9,W+,W,+,4.407683173,0.052285999,1.221380415,,0.5,66
11-Nov-16,7,1,10,D-,D,-,6.511073704,0.148911988,3.00084462,,0,N/A
11-Nov-16,7,1,11,D-,D,-,6.496574839,0.104446822,2.224131254,,0,70
11-Nov-16,7,1,12,W+,W,+,9.400677964,0.245169203,4.072367353,,0,38
11-Nov-16,7,1,13,W+,W,+,4.656108236,0.073683749,1.763151519,,0.5,57
11-Nov-16,7,1,14,W-,W,-,10.38811474,0.218355683,3.85997301,,0,N/A
11-Nov-16,7,1,15,D-,D,-,11.85094018,0.204014988,3.609297483,,0,N/A
11-Nov-16,7,1,16,W+,W,+,9.046488711,0.266415583,4.533987273,,0,46
11-Nov-16,7,1,17,D+,D,+,8.347409125,0.191958659,3.491621783,,0.5,70
11-Nov-16,7,1,18,D+,D,+,2.778658992,0.039508293,0.941168077,,0,34
